T,J=1/2,J=1,J=3/2,J=2,J=5/2,J=3,J=7/2,J=4,J=9/2,J=inf
0.174,0.99997961,0.999819355,0.999321998,0.998383939,0.997033567,0.995370031,0.993505644,0.991537406,0.989538764,0.938645711
0.175,0.999978179,0.999810209,0.999294577,0.998329371,0.996947188,0.995251039,0.993355641,0.991359209,0.98933563,0.938265002
0.176,0.999976748,0.999800702,0.999266427,0.99827358,0.996859282,0.995130297,0.993203798,0.991179163,0.989130681,0.937883963
0.177,0.999975198,0.999790895,0.999237425,0.998216598,0.996769827,0.995007808,0.993050114,0.990997285,0.98892393,0.937502588
0.178,0.999973647,0.999780667,0.999207653,0.998158365,0.996678822,0.994883609,0.992894626,0.990813573,0.988715389,0.937120883
0.179,0.999971858,0.99977008,0.999177068,0.998098909,0.996586291,0.994757662,0.992737333,0.990628043,0.98850506,0.936738841
0.18,0.999970069,0.999759072,0.99914567,0.998038201,0.996492187,0.994629967,0.992578199,0.990440679,0.988292941,0.936356466
0.181,0.99996816,0.999747703,0.999113378,0.997976212,0.996396508,0.994500543,0.99241726,0.990251512,0.98807906,0.935973754
0.182,0.999966251,0.999735914,0.999080272,0.997912971,0.99629928,0.99436939,0.992254533,0.990060541,0.987863429,0.935590712
0.183,0.999964104,0.999723764,0.999046311,0.997848479,0.996200479,0.994236488,0.992089983,0.989867766,0.987646036,0.935207325
0.184,0.999961957,0.999711133,0.999011494,0.997782675,0.996100103,0.994101857,0.991923644,0.989673202,0.987426906,0.934823599
0.185,0.99995957,0.99969808,0.998975714,0.99771559,0.995998155,0.993965499,0.9917555,0.98947685,0.98720604,0.934439536
0.186,0.999957184,0.999684606,0.998939117,0.997647194,0.995894608,0.993827391,0.991585584,0.989278723,0.986983452,0.934055143
0.187,0.999954679,0.999670651,0.998901566,0.997577486,0.995789488,0.993687534,0.991413862,0.989078822,0.986759153,0.933670396
0.188,0.999952053,0.999656273,0.998863141,0.997506466,0.995682771,0.993545969,0.991240369,0.988877162,0.986533144,0.933285312
0.189,0.99994919,0.999641414,0.998823762,0.997434136,0.995574455,0.993402655,0.991065104,0.988673758,0.986305439,0.93289988
0.19,0.999946326,0.999626072,0.998783469,0.997360464,0.995464567,0.993257612,0.990888051,0.988468595,0.98607605,0.93251411
0.191,0.999943342,0.999610248,0.998742223,0.997285422,0.995353057,0.993110841,0.990709242,0.988261686,0.985844978,0.932127994
0.192,0.99994012,0.99959388,0.998699982,0.997209068,0.995239949,0.99296234,0.99052868,0.988053049,0.985612235,0.93174153
0.193,0.999936778,0.99957709,0.998656829,0.997131343,0.99512522,0.992812091,0.990346345,0.987842682,0.985377836,0.93135472
0.194,0.999933316,0.999559756,0.998612682,0.997052247,0.995008917,0.992660132,0.990162273,0.9876306,0.985141764,0.930967564
0.195,0.999929735,0.999541879,0.998567541,0.99697178,0.994890969,0.992506445,0.989976428,0.987416803,0.984904063,0.930580061
0.196,0.999925915,0.999523457,0.998521367,0.996889973,0.994771423,0.992351049,0.989788863,0.987201307,0.984664731,0.93019221
0.197,0.999921975,0.999504491,0.99847424,0.996806733,0.994650256,0.992193923,0.98959956,0.986984095,0.984423768,0.929804004
0.198,0.999917797,0.99948498,0.998426079,0.996722124,0.994527468,0.992035069,0.98940852,0.986765214,0.984181188,0.92941545
0.199,0.999913618,0.999464924,0.998376886,0.996636144,0.994403082,0.991874506,0.989215758,0.986544632,0.983936989,0.929026549
0.2,0.99990908,0.999444323,0.998326618,0.996548733,0.994277051,0.991712233,0.989021258,0.986322396,0.983691186,0.928637285
0.201,0.999904423,0.999423056,0.998275358,0.996459921,0.994149422,0.991548231,0.988825055,0.986098473,0.983443806,0.928247673
0.202,0.999899645,0.999401302,0.998223025,0.996369679,0.994020148,0.991382541,0.988627148,0.985872896,0.983194833,0.927857696
0.203,0.999894629,0.999378882,0.99816962,0.996278036,0.993889252,0.991215121,0.988427519,0.985645662,0.982944282,0.927467372
0.204,0.999889373,0.999355854,0.998115141,0.996184962,0.993756735,0.991046011,0.988226204,0.985416789,0.982692152,0.927076692
0.205,0.999883997,0.999332219,0.998059589,0.996090457,0.993622596,0.990875193,0.988023185,0.985186274,0.982438471,0.926685646
0.206,0.999878382,0.999307915,0.998002965,0.995994523,0.993486811,0.990702684,0.987818478,0.984954119,0.982183239,0.926294253
0.207,0.999872528,0.999283003,0.997945188,0.995897157,0.993349406,0.990528466,0.987612084,0.984720337,0.981926468,0.925902486
0.208,0.999866433,0.999257481,0.997886338,0.995798331,0.993210379,0.99035256,0.98740402,0.984484945,0.981668144,0.925510372
0.209,0.9998601,0.99923129,0.997826376,0.995698045,0.993069706,0.990174983,0.987194287,0.984247926,0.981408293,0.925117883
0.21,0.999853646,0.999204368,0.997765261,0.995596328,0.992927412,0.989995697,0.986982865,0.984009326,0.981146932,0.924725047
0.211,0.999846832,0.999176835,0.997703033,0.995493121,0.992783496,0.989814742,0.986769808,0.983769115,0.980884044,0.924331837
0.212,0.999839779,0.999148571,0.997639653,0.995388453,0.992637934,0.989632076,0.98655508,0.983527307,0.98061967,0.923938261
0.213,0.999832606,0.999119634,0.997575121,0.995282355,0.992490727,0.989447762,0.986338699,0.983283933,0.980353783,0.92354432
0.214,0.999825073,0.999090025,0.997509437,0.995174737,0.992341923,0.989261756,0.986120681,0.983038962,0.98008641,0.923150012
0.215,0.9998173,0.999059682,0.9974426,0.995065688,0.992191472,0.989074102,0.985901028,0.982792439,0.97981755,0.922755339
0.216,0.999809167,0.999028605,0.99737457,0.994955119,0.992039377,0.988884757,0.98567972,0.982544334,0.979547216,0.922360293
0.217,0.999800913,0.998996734,0.997305349,0.994843089,0.991885658,0.988693762,0.985456811,0.982294692,0.97927541,0.92196488
0.218,0.9997923,0.99896419,0.997234936,0.994729569,0.99173032,0.988501097,0.985232264,0.982043482,0.979002144,0.921569091
0.219,0.999783326,0.998930871,0.99716333,0.994614529,0.991573359,0.988306783,0.985006098,0.981790751,0.97872743,0.921172937
0.22,0.999774112,0.998896837,0.997090532,0.994498029,0.991414752,0.988110818,0.984778312,0.981536467,0.97845127,0.920776408
0.221,0.999764657,0.998861968,0.997016503,0.994380008,0.991254523,0.987913183,0.984548941,0.981280661,0.978173662,0.920379504
0.222,0.999754842,0.998826385,0.996941281,0.994260497,0.991092649,0.987713917,0.984317949,0.981023332,0.977894633,0.919982217
0.223,0.999744666,0.998789966,0.996864828,0.994139496,0.990929177,0.987513001,0.984085373,0.980764495,0.97761417,0.919584562
0.224,0.999734249,0.998752773,0.996787142,0.994016974,0.990764058,0.987310455,0.98385121,0.98050412,0.9773323,0.919186532
0.225,0.999723472,0.998714744,0.996708186,0.993892933,0.990597319,0.987106278,0.983615461,0.980242268,0.977049008,0.918788119
0.226,0.999712333,0.998675942,0.996627996,0.993767401,0.990428957,0.986900471,0.983378126,0.979978922,0.976764308,0.918389321
0.227,0.999700833,0.998636305,0.996546576,0.993640319,0.990258973,0.986693013,0.98313924,0.979714067,0.976478214,0.917990148
0.228,0.999689091,0.998595833,0.996463883,0.993511747,0.990087367,0.986483964,0.982898767,0.979447735,0.976190739,0.917590598
0.229,0.999676868,0.998554527,0.99637992,0.993381654,0.989914114,0.986273264,0.982656724,0.979179923,0.975901854,0.917190656
0.23,0.999664403,0.998512327,0.996294684,0.99325001,0.989739264,0.986060974,0.982413147,0.978910648,0.975611614,0.916790336
0.231,0.999651697,0.998469292,0.996208136,0.993116879,0.989562816,0.985847052,0.982168001,0.978639895,0.975319992,0.916389633
0.232,0.999638388,0.998425423,0.996120358,0.992982195,0.989384721,0.985631519,0.981921319,0.978367692,0.975027002,0.915988536
0.233,0.999624717,0.99838066,0.996031267,0.992845991,0.989205028,0.985414396,0.981673084,0.978094025,0.974732655,0.915587063
0.234,0.999610563,0.998335003,0.995940866,0.992708237,0.989023714,0.98519568,0.981423331,0.977818923,0.974436952,0.915185186
0.235,0.999596167,0.998288452,0.995849152,0.992568994,0.988840776,0.984975354,0.981172043,0.977542373,0.974139907,0.914782934
0.236,0.999581288,0.998240946,0.995756168,0.992428169,0.988656239,0.984753436,0.980919218,0.977264388,0.973841519,0.914380278
0.237,0.999565925,0.998192607,0.99566183,0.992285824,0.988470081,0.984529926,0.980664893,0.976984983,0.973541802,0.913977237
0.238,0.999550199,0.998143314,0.995566183,0.99214196,0.988282324,0.984304825,0.98040903,0.976704143,0.973240756,0.913573801
0.239,0.999534109,0.998093127,0.995469225,0.991996544,0.988092969,0.984078174,0.980151684,0.976421883,0.972938377,0.913169972
0.24,0.999517416,0.998041925,0.995370914,0.991849579,0.987902014,0.983849907,0.979892819,0.976138218,0.972634683,0.912765747
0.241,0.999500358,0.997989831,0.995271293,0.991701062,0.987709437,0.983620092,0.97963245,0.975853148,0.972329685,0.912361136
0.242,0.999482935,0.997936783,0.99517032,0.991551027,0.987515262,0.983388703,0.979370597,0.975566672,0.972023384,0.911956112
0.243,0.999464908,0.997882781,0.995067997,0.99139941,0.987319511,0.983155763,0.979107259,0.975278806,0.971715764,0.911550703
0.244,0.999446515,0.997827826,0.994964321,0.991246273,0.987122138,0.982921251,0.978842435,0.974989549,0.971406868,0.91114488
0.245,0.999427517,0.997771857,0.994859295,0.991091586,0.98692319,0.982685165,0.978576144,0.974698901,0.971096666,0.910738662
0.246,0.999408153,0.997714874,0.994752877,0.990935347,0.986722643,0.982447547,0.978308366,0.974406876,0.9707852,0.910332049
0.247,0.999388424,0.997656938,0.99464515,0.990777559,0.986520496,0.982208377,0.978039119,0.974113492,0.970472443,0.909925022
0.248,0.999368088,0.997597988,0.99453599,0.990618221,0.986316749,0.981967654,0.977768404,0.97381873,0.970158422,0.90951759
